,Statistics,Rice_Wheat_farmerpractice,Rice_Wheat_medium_long,Rice_Wheat_onset_long,Rice_Wheat_onset_long_suppl,Rice_Wheat_onset_medium,Rice_Wheat_onset_medium_suppl
1,WeightedMean_UB,-23.99,34.99,8.37,-14.67,14.30,1.49
2,WeightedSD_UB,25.96,28.30,41.11,47.53,29.59,31.35
3,Min_UB,-144.09,-28.54,-84.72,-125.24,-64.90,-89.49
4,Percentile10_UB,-56.03,-15.52,-45.24,-74.99,-26.87,-37.83
5,Percentile25_UB,-39.27,22.03,-19.37,-51.28,-4.45,-19.90
6,Median_UB,-24.18,41.04,1.34,-18.60,15.28,-1.92
7,Percentile75_UB,-12.33,56.10,39.14,20.11,36.06,25.19
8,Percentile90_UB,1.85,66.82,69.81,56.16,53.93,45.26
9,Max_UB,87.55,91.16,96.57,86.07,132.20,108.48
10,WeightedMean_LB,-73.43,-1.39,-18.36,-43.68,-16.67,-28.19
11,WeightedSD_LB,36.34,25.91,43.02,49.08,28.35,30.59
12,Min_LB,-177.76,-59.94,-123.07,-139.93,-119.55,-151.45
13,Percentile10_LB,-113.83,-28.09,-77.92,-109.68,-46.58,-65.46
14,Percentile25_LB,-94.35,-20.99,-53.41,-86.66,-30.70,-43.60
15,Median_LB,-72.95,-6.29,-13.44,-42.45,-19.58,-29.30
16,Percentile75_LB,-56.20,16.31,10.49,-3.30,-1.85,-11.96
17,Percentile90_LB,-29.14,36.79,37.99,22.05,20.96,11.44
18,Max_LB,83.40,69.35,87.03,76.56,113.90,83.34
19,PropLandinGreen,0.02,0.42,0.36,0.23,0.23,0.16
20,PropLandinYellow,0.09,0.42,0.16,0.14,0.44,0.32
21,PropLandinRed,0.89,0.16,0.48,0.63,0.32,0.52
22,TotalAcres,17456.00,17456.00,17456.00,17456.00,17456.00,17456.00
23,NumberofCells,17456.00,17456.00,17456.00,17456.00,17456.00,17456.00
