"","Statistics","Rice_farmerpractice","Rice_medium_long","Rice_onset_long","Rice_onset_long_suppl","Rice_onset_medium","Rice_onset_medium_suppl"
"1","WeightedMean_UB",-1.03084051081481,1.89944154491323,0.760010252780627,0.405366569614618,1.32184504977479,1.00944122252146
"2","WeightedSD_UB",1.36248382385344,1.75363616981481,2.50016803710785,2.37693051495603,1.79226454891165,1.76017131754351
"3","Min_UB",-5.65329980399623,-2.46677272711673,-5.57517880571791,-5.65214983517598,-4.22573639415668,-4.38163941091184
"4","Percentile10_UB",-2.16839990965775,-1.59726745674526,-2.25693938743974,-2.3534399008008,-1.64715548470421,-1.53323273692221
"5","Percentile25_UB",-1.84509997487458,1.31530005648213,-0.581499999479316,-0.88036248504262,0.655925113028579,-0.465581922187447
"6","Median_UB",-1.32518635122404,2.47505005208334,0.0422666832694877,-0.303358322522187,1.77044998622626,1.52743120981349
"7","Percentile75_UB",-0.448362523228236,3.04194544147651,3.18409985618095,2.86258749679822,2.38012042789306,2.19500884003849
"8","Percentile90_UB",0.14883783457469,3.52066333994758,4.1095428209393,3.68152091670182,3.06113666013407,2.93338975507093
"9","Max_UB",5.92163344613517,5.64091669756626,5.73435662568489,5.65327339067286,10.9545575771574,8.89703033808134
"10","WeightedMean_LB",-3.53246759448246,-0.7282253737082,-1.41920142927246,-2.01800551076117,-1.26743364724843,-1.49451948012152
"11","WeightedSD_LB",1.6839456016224,1.73368898095022,2.60092148542995,2.4734647843025,1.7802235568851,1.68229974251532
"12","Min_LB",-7.83145667869674,-4.69400024735505,-7.01679996819099,-6.16230011623299,-7.01679997163452,-7.20105555825344
"13","Percentile10_LB",-5.52595221767027,-2.46874361498417,-5.12965804138748,-5.19249001728986,-2.75066414251614,-3.20195191324961
"14","Percentile25_LB",-4.61912715667433,-2.02803025132995,-3.76368329366619,-4.40902867784459,-2.28380230345694,-2.5216908849796
"15","Median_LB",-3.70560305435727,-1.1526091350303,-0.710179936031916,-1.87488749608067,-1.50917270984546,-1.82430682978283
"16","Percentile75_LB",-2.32027502726946,0.350703022707813,0.176680027832314,-0.143093162463364,-0.342537168620034,-0.535645479861422
"17","Percentile90_LB",-1.89458998565796,1.92154305712795,1.89840014192704,1.18205524818004,1.15710181034906,0.726209957604184
"18","Max_LB",4.83800011726548,5.04548781994789,4.78739977967298,4.66180004640077,8.5037001953125,6.49110009765625
"19","PropLandinGreen",0.0190684050313019,0.301688490696075,0.306544202066582,0.211239308880072,0.20555651225531,0.176740715228739
"20","PropLandinYellow",0.106254666589731,0.521479439467033,0.208438576348992,0.189885770047756,0.589231387406032,0.534412490672217
"21","PropLandinRed",0.874676928378967,0.176832069836891,0.485017221584426,0.598874921072172,0.205212100338658,0.288846794099044
"22","TotalAcres",17411,17412,17420,17421,17421,17421
"23","NumberofCells",17411,17412,17420,17421,17421,17421
