"","Statistics","Rice_farmerpractice","Rice_medium_long","Rice_onset_long","Rice_onset_long_suppl","Rice_onset_medium","Rice_onset_medium_suppl"
"1","WeightedMean_UB",-0.844507890029464,2.91503540279465,3.94611271014505,3.57072342098582,1.9147870023361,1.80418561624656
"2","WeightedSD_UB",1.57197301576661,0.405711215285912,0.623921079862008,0.626677166181517,0.346071967710192,0.446665992660423
"3","Min_UB",-2.20299999519744,2.27254986805457,2.88974988242043,-1.74919392561293,1.29050000498167,-1.9475999745767
"4","Percentile10_UB",-1.92011999294809,2.49831997502511,3.18160568528655,3.02845009028575,1.55423996926119,1.45224996577179
"5","Percentile25_UB",-1.86530004651825,2.613116660592,3.43924168415765,3.20429160022578,1.63516668915006,1.59802499874319
"6","Median_UB",-1.68989395006218,2.78737494649873,3.85020007573179,3.47950000661528,1.83839990944757,1.79200012746139
"7","Percentile75_UB",-0.408678790679201,3.17792500573714,4.39822691582985,3.9512499922783,2.12902951291399,2.0272750603246
"8","Percentile90_UB",1.85677296727692,3.48813978099595,4.84818359788901,4.36621533257065,2.40390582223477,2.31452007279427
"9","Max_UB",4.88413551469707,4.18549678040327,5.73435662568489,5.33467496802542,3.11835158407696,2.96572005907772
"10","WeightedMean_LB",-3.20577803543979,0.441841564407401,1.4267747085117,0.732519595731189,-0.612916696175828,-0.858618263130897
"11","WeightedSD_LB",1.44190224296282,1.3822709650241,1.23090492954837,1.17850845838127,1.32941773753,1.27879817082646
"12","Min_LB",-6.59322727990741,-1.73020608335477,-1.70889996479644,-3.90727499513196,-2.65526366703896,-3.0445250397748
"13","Percentile10_LB",-5.30989180769963,-1.30515576999397,-0.103478783791536,-0.436664216156191,-2.23852852544308,-2.29172362687088
"14","Percentile25_LB",-4.27758882631083,-0.663490911630297,0.430049953398569,-0.119499998260199,-1.68115302260633,-1.91144393107359
"15","Median_LB",-3.07713892617708,0.246439398498823,1.29185456607658,0.573627284469898,-0.841366648962211,-1.14121211958102
"16","Percentile75_LB",-2.06302085789872,1.37195756238178,2.2729075530824,1.46503790251907,0.279996986887003,-0.0810318319935541
"17","Percentile90_LB",-1.8238000173492,2.675323690673,3.24903816259678,2.39485211682272,1.48986542122957,1.20397817267298
"18","Max_LB",0.758900021523616,3.6919997499709,4.78739977967298,4.37449975017911,2.44850297419812,2.35260009249725
"19","PropLandinGreen",0.012994683992912,0.573242764323705,0.866804489072692,0.69167158889548,0.2944477259303,0.238629651506198
"20","PropLandinYellow",0.193738924985198,0.426757235676295,0.133195510927308,0.304784406379181,0.7055522740697,0.753396337861788
"21","PropLandinRed",0.79326639102189,0,0,0.00354400472533963,0,0.00797401063201418
"22","TotalAcres",3386,3386,3386,3386,3386,3386
"23","NumberofCells",3386,3386,3386,3386,3386,3386
