"","Statistics","Wheat_farmerpractice","Wheat_medium_long","Wheat_onset_long","Wheat_onset_long_suppl","Wheat_onset_medium","Wheat_onset_medium_suppl"
"1","WeightedMean_UB",-0.336638471040545,1.28493389177499,1.22661330001007,0.636374647859437,0.204017426351871,-0.366198034426926
"2","WeightedSD_UB",0.975484567131964,0.118265557115687,0.380022556240145,0.69466328252273,0.755105969482412,1.03331640955103
"3","Min_UB",-2.59719994630026,0.601349978140931,0.175778794292902,-2.3853998979379,-1.10540605629639,-2.38539990201699
"4","Percentile10_UB",-1.97651999200223,1.14717550015491,0.641863733774549,-0.0855902949704242,-0.800967177831556,-1.78493000947614
"5","Percentile25_UB",-1.16091819210296,1.23256582268125,0.977007079586424,0.483234872004043,-0.372512726586542,-1.22314997324991
"6","Median_UB",0.0517281439113342,1.30369995197377,1.28937335187315,0.753478281523685,0.110838706634143,-0.359718169091149
"7","Percentile75_UB",0.324507567610314,1.36862568327934,1.50201902299765,1.04178247623011,0.816544867293469,0.472989341851896
"8","Percentile90_UB",0.5865598688501,1.4027025513409,1.64528477773939,1.25291995470757,1.31713140932575,1.095694685214
"9","Max_UB",1.58995724386248,1.52919995539819,2.05401681141542,1.90500008710939,1.69177136506271,1.60919995807431
"10","WeightedMean_LB",-1.71108045811638,1.0323098018198,0.659334415339567,0.0407952560163565,-0.2372387938245,-1.15002968464775
"11","WeightedSD_LB",1.22844563837086,0.120015817027254,0.609260009553438,0.904948410225168,0.776483311040094,1.10441894939723
"12","Min_LB",-3.72174847184858,0.381866597464533,-0.887400025386198,-3.46898623157418,-1.42010010444706,-3.72174847184858
"13","Percentile10_LB",-3.12983999012402,0.884480120094895,-0.264419925141515,-1.03974000412145,-1.07700004223051,-2.17890000296966
"14","Percentile25_LB",-2.6436375118328,0.984310567493075,0.2296499626065,-0.343750002137709,-0.865999973289292,-1.88447620731329
"15","Median_LB",-2.11498003350335,1.06118789420388,0.784999999781145,0.252399898381142,-0.471799927123674,-1.60009997639408
"16","Percentile75_LB",-0.0107350094489581,1.11230004282406,1.17350606960321,0.643907063645718,0.358999936876725,-0.492624958227784
"17","Percentile90_LB",-9.45505997050659e-10,1.15115991109522,1.34107453799375,0.930699994495179,1.07389451983865,0.812180050634942
"18","Max_LB",1.33580004465171,1.24029389168043,1.61564543634797,1.49281516305357,1.34988482314496,1.23213330223885
"19","PropLandinGreen",0.0646780862374483,1.00000000000005,0.802421736562351,0.640283520378051,0.31039574719433,0.194034258712342
"20","PropLandinYellow",0.519787359716472,-4.9737991503207e-14,0.197578263437649,0.246603662138193,0.249852333136434,0.190194920259874
"21","PropLandinRed",0.41553455404608,0,0,0.113112817483756,0.439751919669236,0.615770821027784
"22","TotalAcres",3386,3386,3386,3386,3386,3386
"23","NumberofCells",3386,3386,3386,3386,3386,3386
