"","Statistics","Rice_fixed_long","Rice_medium_long","Rice_onset_long","Rice_onset_long_suppl","Rice_onset_medium","Rice_onset_medium_suppl"
"1","WeightedMean_UB",3.20577803543979,4.9105709180833,5.85804920005096,5.37510198207965,3.86820610821329,3.72870332940374
"2","WeightedSD_UB",1.44190224296282,0.646018409481206,0.925752918018373,1.14719810629388,0.624252450399304,0.78030410014587
"3","Min_UB",-0.758900021523616,2.39309998143421,0.343142399027906,-0.5609332666533,1.38489990450003,-2.55049999856902
"4","Percentile10_UB",1.82310999650204,4.4252800815321,4.91967997113592,3.86599414172907,3.39765996717201,2.57414698452972
"5","Percentile25_UB",2.0626791812328,4.66068750588834,5.52215841015246,5.13618331270784,3.69763895494782,3.64992502885521
"6","Median_UB",3.07116968356144,4.98129980777308,5.89300836107112,5.56554993094253,3.95158238024982,3.87237497152221
"7","Percentile75_UB",4.27629595694893,5.26590000275298,6.38218280574018,6.04643008871803,4.18837884403314,4.12189504079396
"8","Percentile90_UB",5.30813073846411,5.53216156351481,6.74270694369183,6.46731470137668,4.40087026508226,4.34346232370985
"9","Max_UB",6.59322727990741,6.61652125253506,8.275109138567,7.81892423433574,5.39974688960998,5.30190604985055
"10","WeightedMean_LB",0.844507890029464,2.13439735807053,3.19274713663894,2.59397196946513,1.07919149555754,0.898289875709086
"11","WeightedSD_LB",1.57197301576661,1.78024343737029,1.57352308986416,1.60370006633109,1.79615180842598,1.80554615739245
"12","Min_LB",-4.88413551469707,-1.15441516815489,-0.989200057072679,-4.89025000767922,-2.48869090625455,-5.4529142770546
"13","Percentile10_LB",-1.86967642077422,-0.109975217667622,1.28038668170267,0.731221753352403,-1.18019274913393,-1.27357334914896
"14","Percentile25_LB",0.406669687140101,0.530166617671561,1.87496516970522,1.46655150681169,-0.509542468548387,-0.605504539989097
"15","Median_LB",1.68766055733496,1.90465752250286,2.90208479672267,2.23620911932385,0.806515160765787,0.44927878910417
"16","Percentile75_LB",1.8651500221044,4.03124695831832,4.82114990063113,3.94570453762503,2.96546060370169,2.79675607463003
"17","Percentile90_LB",1.91992001865082,4.5570199189398,5.33623087803221,4.9364199166698,3.52831640265181,3.46111996442539
"18","Max_LB",2.20299999519744,5.4832001953125,6.6477998046875,6.13139989742078,4.26089990234375,4.17579980358573
"19","PropLandinGreen",0.79326639102189,0.872711163614926,0.997046662728933,0.94654459539284,0.637034849379823,0.568222090962807
"20","PropLandinYellow",0.193738924985198,0.127288836385074,0.00295333727106672,0.0516834022444903,0.362965150620177,0.430596574128747
"21","PropLandinRed",0.012994683992912,0,0,0.00177200236266982,0,0.00118133490844654
"22","TotalAcres",3386,3386,3386,3386,3386,3386
"23","NumberofCells",3386,3386,3386,3386,3386,3386
